 1969   0.91  0.79  0.55  4.10  3.18  5.96  4.89  2.02  4.47  4.02  0.05  0.82 31.76
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1970   0.10  0.00  2.39  1.67  7.47  3.14  3.78  5.75  5.31  3.41  1.57  0.90 35.49
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1971   1.60  3.45  0.81  1.22  3.46  4.38  3.76  0.48  1.28  3.70  2.65  1.01 27.80
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1972   0.43  1.12  0.76  2.89  4.10  5.12  4.17  5.19  4.32  4.28  2.70  1.95 37.03
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1973   1.75  1.96  3.20  4.02  6.76  2.63  6.33  2.25  8.10  3.58  2.25  2.16 44.99
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1974   0.75  0.40  1.01  4.50  9.47  5.65  1.69  4.63  1.93  5.08  0.93  1.19 37.23
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1975   1.30  0.63  1.98  4.21  3.72  8.04  1.64  2.92  1.45  0.55  2.86  1.03 30.33
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1976   0.00  2.51  3.87  5.66  2.97  5.73  1.09  0.25  0.33  0.90  0.00  0.19 23.50
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1977   0.03  0.36  3.60  1.92  2.24  1.24  4.04 11.42  5.10  5.55  0.56  0.98 37.04
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1978   0.07  0.45  0.50  5.17  2.97  5.44  6.83  3.94  5.57  0.76  2.55  0.61 34.86
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1979   1.10  0.30  3.51  4.31  4.84  6.33  4.03  4.97  2.55  3.85  1.97  0.24 38.00
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1980   1.14  0.29  0.44  1.19  2.87  3.93  2.01  5.40  1.48  1.40  0.41  0.20 20.76
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1981   0.00  0.67  0.56  1.86  1.00  4.09  3.97  5.76  2.42  1.67  2.28  0.73 25.01
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1982   1.86  0.41  2.93  2.72  6.09  2.61  6.15  3.46  1.88  2.64  3.04  4.17 37.96
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1983   0.87  0.76  3.65  3.14  6.21  9.12  3.82  4.20  3.18  6.24  5.40  0.35 46.94
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1984   0.50  0.81  1.17  6.83  5.05  6.58  3.39  0.31  3.99  3.61  2.06  1.70 36.00
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1985   0.35  0.93  2.28  1.21  1.26  3.39  1.40  5.08  4.03  3.43  0.65  1.28 25.29
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1986   0.04  1.02  2.14  5.20  5.45  6.51  5.47  3.59  6.90  4.54  1.22  0.81 42.89
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1987   0.18  0.52  2.00  2.16  3.61  3.03  4.78 12.60  2.07  1.13  2.72  1.43 36.23
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1988   0.37  0.19  0.37  1.71  1.74  2.09  3.39  6.07  3.28  0.27  1.93  0.77 22.18
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1989   1.10  0.30  0.72  2.57  4.16  3.49  2.43  1.73  3.20  2.90  0.10  0.13 22.83
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1990   0.72  0.43  5.01  2.00  8.56  8.27  7.70  4.29  2.25  1.64  1.55  1.88 44.30
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1991   0.76  0.17  4.88  9.17  5.19  4.18  1.75  3.67  2.36  3.33  3.13  1.69 40.28
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1992   1.20  1.52  2.51  3.90  1.04  0.58 10.20  2.23  4.08  0.54  4.61  1.82 34.23
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1993   0.87  0.84  3.26  2.56  7.31  7.63 16.39 10.40  3.99  1.51  1.11  0.60 56.47
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1994   0.89  0.79  0.14  2.74  1.73  5.60  2.30  4.45  4.49  3.07  1.80  0.74 28.74
